GeneFamily	Description
K04763	xerD; integrase/recombinase XerD
K04764	"ihfA, himA; integration host factor subunit alpha"
K04765	mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
K04767	acuB; acetoin utilization protein AcuB
K04768	acuC; acetoin utilization protein AcuC
K04771	"degP, htrA; serine protease Do [EC:3.4.21.107]"
K04772	"degQ, hhoA; serine protease DegQ [EC:3.4.21.-]"
K04773	sppA; protease IV [EC:3.4.21.-]
K04774	sohB; serine protease SohB [EC:3.4.21.-]
K04782	pchB; isochorismate pyruvate lyase [EC:4.2.99.21]
K04794	"PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]"
K04796	RUXX; small nuclear ribonucleoprotein
K04799	"FEN1, RAD2; flap endonuclease-1 [EC:3.-.-.-]"
K04800	rfcL; replication factor C large subunit
K04801	rfcS; replication factor C small subunit
K04802	PCNA; proliferating cell nuclear antigen
K04844	ycjT; hypothetical glycosyl hydrolase [EC:3.2.1.-]
K04940	odh; opine dehydrogenase [EC:1.5.1.28]
K05020	"opuD, betL; glycine betaine transporter"
K05245	caiT; L-carnitine/gamma-butyrobetaine antiporter
K05297	"rubB, alkT; rubredoxin---NAD+ reductase [EC:1.18.1.1]"
K05306	phnX; phosphonoacetaldehyde hydrolase [EC:3.11.1.1]
K05337	fer; ferredoxin
K05342	"E2.4.1.64; alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]"
K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
K05349	bglX; beta-glucosidase [EC:3.2.1.21]
K05350	bglB; beta-glucosidase [EC:3.2.1.21]
K05364	pbpA; penicillin-binding protein A
K05365	mrcB; penicillin-binding protein 1B [EC:2.4.1.129 3.4.16.4]
K05366	mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
K05367	pbpC; penicillin-binding protein 1C [EC:2.4.1.129]
K05368	"fre, ubiB; aquacobalamin reductase / NAD(P)H-flavin reductase [EC:1.16.1.3 1.5.1.41]"
K05375	"mbtH, nocI; MbtH protein"
K05396	dcyD; D-cysteine desulfhydrase [EC:4.4.1.15]
K05499	"cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG"
K05501	"slmA, ttk; TetR/AcrR family transcriptional regulator"
K05515	mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
K05516	cbpA; curved DNA-binding protein
K05517	tsx; nucleoside-specific channel-forming protein
K05520	pfpI; protease I [EC:3.5.1.124]
K05522	nei; endonuclease VIII [EC:3.2.2.- 4.2.99.18]
K05523	hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K05524	fdxA; ferredoxin
K05526	astE; succinylglutamate desuccinylase [EC:3.5.1.96]
K05527	"bolA; BolA family transcriptional regulator, general stress-responsive regulator"
K05539	dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]
K05540	dusB; tRNA-dihydrouridine synthase B [EC:1.-.-.-]
K05541	dusC; tRNA-dihydrouridine synthase C [EC:1.-.-.-]
K05548	"benK; MFS transporter, AAHS family, benzoate transport protein"
K05549	"benA-xylX; benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]"
K05550	"benB-xylY; benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]"
K05559	phaA; multicomponent K+:H+ antiporter subunit A
K05560	phaC; multicomponent K+:H+ antiporter subunit C
K05561	phaD; multicomponent K+:H+ antiporter subunit D
K05562	phaE; multicomponent K+:H+ antiporter subunit E
K05563	phaF; multicomponent K+:H+ antiporter subunit F
K05564	phaG; multicomponent K+:H+ antiporter subunit G
K05565	"mnhA, mrpA; multicomponent Na+:H+ antiporter subunit A"
K05566	"mnhB, mrpB; multicomponent Na+:H+ antiporter subunit B"
K05567	"mnhC, mrpC; multicomponent Na+:H+ antiporter subunit C"
K05568	"mnhD, mrpD; multicomponent Na+:H+ antiporter subunit D"
K05569	"mnhE, mrpE; multicomponent Na+:H+ antiporter subunit E"
K05570	"mnhF, mrpF; multicomponent Na+:H+ antiporter subunit F"
K05571	"mnhG, mrpG; multicomponent Na+:H+ antiporter subunit G"
K05572	ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]
K05573	ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
K05574	ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]
K05575	ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
K05576	ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]
K05577	ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]
K05578	ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]
K05579	ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]
K05580	ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
K05581	ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]
K05582	ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]
K05589	ftsB; cell division protein FtsB
K05590	srmB; ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
K05591	dbpA; ATP-independent RNA helicase DbpA [EC:3.6.4.13]
K05592	"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]"
K05593	aadK; aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]
K05595	marC; multiple antibiotic resistance protein
K05596	"iciA; LysR family transcriptional regulator, chromosome initiation inhibitor"
K05601	hcp; hydroxylamine reductase [EC:1.7.99.1]
K05603	hutF; formimidoylglutamate deiminase [EC:3.5.3.13]
K05606	"MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]"
K05685	macB; macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]
K05692	ACTB_G1; actin beta/gamma 1
K05709	"hcaF, hcaA2; 3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]"
K05710	hcaC; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
K05714	"mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]"
K05772	"tupA, vupA; tungstate transport system substrate-binding protein"
K05773	"tupB, vupB; tungstate transport system permease protein"
K05774	"phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]"
K05775	malM; maltose operon periplasmic protein
K05776	modF; molybdate transport system ATP-binding protein
K05777	ABC.VB1X.S; putative thiamine transport system substrate-binding protein
K05778	ABC.VB1X.P; putative thiamine transport system permease protein
K05779	ABC.VB1X.A; putative thiamine transport system ATP-binding protein
K05780	phnL; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]
K05781	phnK; putative phosphonate transport system ATP-binding protein
K05782	benE; benzoate membrane transport protein
K05783	benD-xylL; dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]
K05785	rfaH; transcriptional antiterminator RfaH
K05786	rarD; chloramphenicol-sensitive protein RarD
K05787	hupA; DNA-binding protein HU-alpha
K05788	"ihfB, himD; integration host factor subunit beta"
K05790	wzzE; lipopolysaccharide biosynthesis protein WzzE
K05794	terC; tellurite resistance protein TerC
K05796	hydN; electron transport protein HydN
K05797	pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]
K05798	"leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon"
K05799	"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex"
K05800	ybaO; Lrp/AsnC family transcriptional regulator
K05801	djlA; DnaJ like chaperone protein
K05802	"mscK, kefA, aefA; potassium-dependent mechanosensitive channel"
K05803	nlpI; lipoprotein NlpI
K05804	"rob; AraC family transcriptional regulator, mar-sox-rob regulon activator"
K05805	creA; CreA protein
K05807	bamD; outer membrane protein assembly factor BamD
K05808	yhbH; putative sigma-54 modulation protein
K05809	raiA; ribosome-associated inhibitor A
K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]
K05812	yfiP; DTW domain-containing protein
K05813	ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein
K05814	ugpA; sn-glycerol 3-phosphate transport system permease protein
K05815	ugpE; sn-glycerol 3-phosphate transport system permease protein
K05816	ugpC; sn-glycerol 3-phosphate transport system ATP-binding protein [EC:7.6.2.10]
K05819	"mhpT; MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter"
K05820	"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter"
K05826	lysW; alpha-aminoadipate/glutamate carrier protein LysW
K05827	lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]
K05828	"lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]"
K05829	"lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]"
K05830	"lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]"
K05831	"lysK, argE; LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase"
K05832	ABC.X4.P; putative ABC transport system permease protein
K05833	ABC.X4.A; putative ABC transport system ATP-binding protein
K05834	rhtB; homoserine/homoserine lactone efflux protein
K05836	"hutC; GntR family transcriptional regulator, histidine utilization repressor"
K05837	"rodA, mrdB; rod shape determining protein RodA"
K05838	ybbN; putative thioredoxin
K05844	rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
K05845	opuC; osmoprotectant transport system substrate-binding protein
K05846	opuBD; osmoprotectant transport system permease protein
K05847	opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]
K05851	"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"
K05874	"tsr; methyl-accepting chemotaxis protein I, serine sensor receptor"
K05876	"trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"
K05878	dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]
K05880	dhaR; transcriptional activator for dhaKLM operon
K05881	dhaM; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]
K05888	"K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]"
K05895	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K05896	scpA; segregation and condensation protein A
K05916	"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]"
K05922	hydB; quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K05927	hydA; quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]
K05934	"E2.1.1.131, cobJ, cbiH; precorrin-3B C17-methyltransferase [EC:2.1.1.131]"
K05936	"cobM, cbiF; precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]"
K05939	aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
K05946	"tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]"
K05952	K05952; uncharacterized protein
K05966	citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K05970	SIAE; sialate O-acetylesterase [EC:3.1.1.53]
K05973	phaZ; poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]
K05995	pepE; dipeptidase E [EC:3.4.13.21]
K06001	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
K06006	"cpxP, spy; periplasmic protein CpxP/Spy"
K06013	STE24; STE24 endopeptidase [EC:3.4.24.84]
K06015	E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
K06020	ettA; energy-dependent translational throttle protein EttA
K06024	scpB; segregation and condensation protein B
K06034	comD; sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]
K06041	"kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]"
K06042	cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
K06048	"gshA, ybdK; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]"
K06072	DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]
K06073	btuC; vitamin B12 transport system permease protein
K06074	btuD; vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]
K06075	"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin"
K06076	fadL; long-chain fatty acid transport protein
K06077	slyB; outer membrane lipoprotein SlyB
K06078	lpp; murein lipoprotein
K06080	rcsF; RcsF protein
K06118	"SQD1, sqdB; UDP-sulfoquinovose synthase [EC:3.13.1.1]"
K06120	dhaB; glycerol dehydratase large subunit [EC:4.2.1.30]
K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]
K06132	clsC; cardiolipin synthase C [EC:2.7.8.-]
K06133	"LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
K06134	COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K06136	pqqB; pyrroloquinoline quinone biosynthesis protein B
K06137	pqqC; pyrroloquinoline-quinone synthase [EC:1.3.3.11]
K06138	pqqD; pyrroloquinoline quinone biosynthesis protein D
K06139	pqqE; PqqA peptide cyclase [EC:1.21.98.4]
K06140	rnk; regulator of nucleoside diphosphate kinase
K06141	"tsgA; MFS transporter, TsgA protein"
K06142	"hlpA, ompH; outer membrane protein"
K06143	creD; inner membrane protein
K06144	uspB; universal stress protein B
K06145	"gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor"
K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"
K06149	uspA; universal stress protein A
K06153	bacA; undecaprenyl-diphosphatase [EC:3.6.1.27]
K06155	gntT; Gnt-I system high-affinity gluconate transporter
K06156	gntU; Gnt-I system low-affinity gluconate transporter
K06158	"ABCF3; ATP-binding cassette, subfamily F, member 3"
K06159	yojI; multidrug/microcin transport system ATP-binding/permease protein
K06162	phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]
K06163	phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]
K06164	phnI; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]
K06165	phnH; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]
K06166	phnG; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]
K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"
K06168	miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
K06169	miaE; tRNA-(ms[2]io[6]A)-hydroxylase [EC:1.-.-.-]
K06173	"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"
K06174	"ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1"
K06175	truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]
K06176	"truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]"
K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
K06179	rluC; 23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24]
K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
K06181	rluE; 23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]
K06182	rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]
K06186	"bamE, smpA; outer membrane protein assembly factor BamE"
K06187	recR; recombination protein RecR
K06188	aqpZ; aquaporin Z
K06189	corC; magnesium and cobalt transporter
K06190	ispZ; intracellular septation protein
K06191	nrdH; glutaredoxin-like protein NrdH
K06192	pqiB; paraquat-inducible protein B
K06193	phnA; protein PhnA
K06194	nlpD; lipoprotein NlpD
K06195	apaG; ApaG protein
K06196	ccdA; cytochrome c-type biogenesis protein
K06197	chaB; cation transport regulator
K06199	"crcB, FEX; fluoride exporter"
K06200	cstA; carbon starvation protein
K06201	cutC; copper homeostasis protein
K06202	cyaY; CyaY protein
K06203	cysZ; CysZ protein
K06204	dksA; DnaK suppressor protein
K06205	mioC; MioC protein
K06206	sfsA; sugar fermentation stimulation protein A
K06207	"typA, bipA; GTP-binding protein"
K06211	"nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"
K06212	focA; formate transporter
K06213	mgtE; magnesium transporter
K06214	csgG; curli production assembly/transport component CsgG
K06215	"pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]"
K06217	"phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins"
K06218	"relE, stbE; mRNA interferase RelE/StbE"
K06219	smtA; S-adenosylmethionine-dependent methyltransferase
K06221	"dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
K06222	"dkgB; 2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]"
K06223	dam; DNA adenine methylase [EC:2.1.1.72]
K06281	"hyaB, hybC; hydrogenase large subunit [EC:1.12.99.6]"
K06282	"hyaA, hybO; hydrogenase small subunit [EC:1.12.99.6]"
K06283	"spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D"
K06284	"abrB; AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes"
K06287	maf; septum formation protein
K06346	jag; spoIIIJ-associated protein
K06373	spmA; spore maturation protein A
K06377	spo0M; sporulation-control protein
K06392	spoIIIAC; stage III sporulation protein AC
K06400	spoIVCA; site-specific DNA recombinase
K06412	spoVG; stage V sporulation protein G
K06415	spoVR; stage V sporulation protein R
K06416	spoVS; stage V sporulation protein S
K06445	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]
K06446	DCAA; acyl-CoA dehydrogenase [EC:1.3.99.-]
K06447	astD; succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]
K06518	cidA; holin-like protein
K06596	chpA; chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
K06597	chpB; chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)
K06598	chpC; chemosensory pili system protein ChpC
K06601	flbT; flagellar protein FlbT
K06602	flaF; flagellar protein FlaF
K06603	flaG; flagellar protein FlaG
K06718	"ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]"
K06720	ectC; L-ectoine synthase [EC:4.2.1.108]
K06726	rbsD; D-ribose pyranase [EC:5.4.99.62]
K06857	"tupC, vupC; tungstate transport system ATP-binding protein [EC:7.3.2.6]"
K06858	btuF; vitamin B12 transport system substrate-binding protein
K06860	K06860; putative heme uptake system protein
K06861	lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
K06863	purP; 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]
K06865	K06865; ATPase
K06866	grcA; autonomous glycyl radical cofactor
K06867	K06867; uncharacterized protein
K06869	K06869; uncharacterized protein
K06871	K06871; uncharacterized protein
K06872	K06872; uncharacterized protein
K06875	"PDCD5, TFAR19; programmed cell death protein 5"
K06876	K06876; deoxyribodipyrimidine photolyase-related protein
K06877	K06877; DEAD/DEAH box helicase domain-containing protein
K06878	K06878; tRNA-binding protein
K06879	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K06880	ereA_B; erythromycin esterase [EC:3.1.1.-]
K06881	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K06883	K06883; uncharacterized protein
K06884	K06884; uncharacterized protein
K06885	K06885; uncharacterized protein
K06886	glbN; hemoglobin
K06887	K06887; uncharacterized protein
K06888	K06888; uncharacterized protein
K06889	K06889; uncharacterized protein
K06890	K06890; uncharacterized protein
K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS
K06894	K06894; uncharacterized protein
K06895	"lysE, argO; L-lysine exporter family protein LysE/ArgO"
K06897	"K06897; 7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
K06898	"larB; pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]"
K06899	ndpA; nucleoid-associated protein
K06901	"pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease"
K06902	"UMF1; MFS transporter, UMF1 family"
K06903	K06903; uncharacterized protein
K06904	K06904; uncharacterized protein
K06907	K06907; uncharacterized protein
K06909	xtmB; phage terminase large subunit
K06910	K06910; uncharacterized protein
K06911	K06911; uncharacterized protein
K06915	K06915; uncharacterized protein
K06916	zapE; cell division protein ZapE
K06917	selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]
K06918	K06918; uncharacterized protein
K06919	K06919; putative DNA primase/helicase
K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
K06922	K06922; uncharacterized protein
K06923	K06923; uncharacterized protein
K06925	tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K06929	K06929; uncharacterized protein
K06934	K06934; uncharacterized protein
K06937	"K06937; 7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]"
K06938	K06938; uncharacterized protein
K06940	K06940; uncharacterized protein
K06941	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
K06942	ychF; ribosome-binding ATPase
K06944	K06944; uncharacterized protein
K06945	K06945; uncharacterized protein
K06946	K06946; uncharacterized protein
K06949	"rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
K06950	K06950; uncharacterized protein
K06952	K06952; uncharacterized protein
K06953	K06953; uncharacterized protein
K06954	K06954; uncharacterized protein
K06955	K06955; uncharacterized protein
K06956	K06956; uncharacterized protein
K06957	tmcA; tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]
K06958	rapZ; RNase adapter protein RapZ
K06959	tex; protein Tex
K06960	K06960; uncharacterized protein
K06961	KRR1; ribosomal RNA assembly protein
K06965	"PELO, DOM34, pelA; protein pelota"
K06966	ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
K06968	rlmM; 23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
K06969	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
K06970	rlmF; 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]
K06971	K06971; uncharacterized protein
K06973	K06973; uncharacterized protein
K06975	K06975; uncharacterized protein
K06978	K06978; uncharacterized protein
K06979	mph; macrolide phosphotransferase
K06980	ygfZ; tRNA-modifying protein YgfZ
K06981	ipk; isopentenyl phosphate kinase [EC:2.7.4.26]
K06985	K06985; aspartyl protease family protein
K06987	K06987; uncharacterized protein
K06988	fno; 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
K06991	K06991; uncharacterized protein
K06992	K06992; uncharacterized protein
K06994	K06994; putative drug exporter of the RND superfamily
K06995	K06995; uncharacterized protein
K06996	K06996; uncharacterized protein
K06997	"yggS, PROSC; PLP dependent protein"
K06999	K06999; phospholipase/carboxylesterase
K07000	K07000; uncharacterized protein
K07001	K07001; NTE family protein
K07003	K07003; uncharacterized protein
K07004	K07004; uncharacterized protein
K07005	K07005; uncharacterized protein
K07006	K07006; uncharacterized protein
K07007	"baiN; 3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]"
K07008	egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]
K07010	K07010; putative glutamine amidotransferase
K07011	wbbL; rhamnosyltransferase
K07014	K07014; uncharacterized protein
K07017	K07017; uncharacterized protein
K07018	K07018; uncharacterized protein
K07019	K07019; uncharacterized protein
K07020	K07020; uncharacterized protein
K07024	SPP; sucrose-6-phosphatase [EC:3.1.3.24]
K07025	K07025; putative hydrolase of the HAD superfamily
K07026	E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]
K07027	K07027; glycosyltransferase 2 family protein
K07028	K07028; uncharacterized protein
K07030	K07030; uncharacterized protein
K07032	K07032; uncharacterized protein
K07034	K07034; uncharacterized protein
K07037	pgpH; cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
K07038	K07038; inner membrane protein
K07039	K07039; uncharacterized protein
K07040	K07040; uncharacterized protein
K07041	K07041; uncharacterized protein
K07042	"ybeY, yqfG; probable rRNA maturation factor"
K07043	K07043; uncharacterized protein
K07044	K07044; uncharacterized protein
K07045	K07045; uncharacterized protein
K07046	K07046; L-fuconolactonase [EC:3.1.1.-]
K07047	nfdA; N-substituted formamide deformylase [EC:3.5.1.91]
K07048	"PTER, php; phosphotriesterase-related protein"
K07050	"AARSD1, ALAX; misacylated tRNA(Ala) deacylase [EC:3.1.1.-]"
K07051	K07051; uncharacterized protein
K07052	K07052; uncharacterized protein
K07053	"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"
K07054	K07054; uncharacterized protein
K07056	rsmI; 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
K07058	K07058; membrane protein
K07062	fitB; toxin FitB [EC:3.1.-.-]
K07064	K07064; uncharacterized protein
K07067	disA; diadenylate cyclase [EC:2.7.7.85]
K07068	K07068; uncharacterized protein
K07069	K07069; uncharacterized protein
K07070	K07070; uncharacterized protein
K07071	K07071; uncharacterized protein
K07075	K07075; uncharacterized protein
K07077	K07077; uncharacterized protein
K07080	K07080; uncharacterized protein
K07082	K07082; UPF0755 protein
K07084	yuiF; putative amino acid transporter
K07085	K07085; putative transport protein
K07086	K07086; uncharacterized protein
K07088	K07088; uncharacterized protein
K07089	K07089; uncharacterized protein
K07090	K07090; uncharacterized protein
K07091	lptF; lipopolysaccharide export system permease protein
K07093	K07093; uncharacterized protein
K07095	K07095; uncharacterized protein
K07096	K07096; uncharacterized protein
K07098	K07098; uncharacterized protein
K07101	K07101; uncharacterized protein
K07102	amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221]
K07106	murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
K07109	K07109; uncharacterized protein
K07110	"ramB; XRE family transcriptional regulator, fatty acid utilization regulator"
K07112	K07112; uncharacterized protein
K07113	fxsA; UPF0716 protein FxsA
K07114	yfbK; Ca-activated chloride channel homolog
K07115	rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
K07116	"pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]"
